id	name	lore	description	effectvalue	effect	requirestarget	buff	buffduration	skill	skillexp	tpx	tpy	tpz	powercost	level	races	scholarlylevel	naturallevel	combatlevel	rangedlevel	onCastText	onCastEndText	onCastTargetText	onCastTargetFail	onBuffStartText	onCastPlayerSay	specialeffect	specialeffectvalue	specialeffecttarget	specialeffecttargetvalue	loottables	region
1	a faded scroll	This ancient scroll seems faded and no longer of use to anyone	You can put any Dev note here	0	effect_none	no			normal	0				0							This appears to have no use										zombie,skeleton	
2	Spell: Translocate: Anchor of the Astral	The locals say the gods first stepped foot on this plane at this very spot. That is of course all nonesense - Researcher Garrin	You can put any Dev note here	0	teleport	no			scholarly	320	530	67	490	50			4				Speaking the incantations on the scroll opens a portal in front of you	You are ripped away by the portal					POTION_BREAK	3	POTION_BREAK	3	spider	
3	Ability: Tending of the Battle Cleric	Upon the page you see various healing techniques of ancient battle clerics	You can put any Dev note here	2	heal	both			natural	320				25				3			You tend to the wounds		You feel relief as your wounds are tended to	Your attempt to heal makes no difference			POTION_BREAK	4	POTION_BREAK	4	zombie,skeleton	
4	Spell: Ring of the North	An ancient page of a druidic prayer book that appears to sparkle with alteration magic	You can put any Dev note here	0	teleport	no			natural	320	164	65	-307	50				10			You speak the ancient druidic prayer to Methabeht						POTION_BREAK	3	POTION_BREAK	3	enderman	
5	Spell: Ring of the South	An ancient page of a druidic prayer book that appears to sparkle with alteration magic	You can put any Dev note here	0	teleport	no			natural	320	167	69	872	50				10			You speak the ancient druidic prayer to Methabeht						POTION_BREAK	3	POTION_BREAK	3	enderman	
6	Spell: Ring of the West	An ancient page of a druidic prayer book that appears to sparkle with alteration magic	You can put any Dev note here	0	teleport	no			natural	320	-397	64	279	50				10			You speak the ancient druidic prayer to Methabeht				They only come out at night		POTION_BREAK	3	POTION_BREAK	3	enderman	
7	Spell: Conjure Fire	Conjuring fire was one of the first abilities taught to the magicians of Tsiyon	You can put any Dev note here	2	targetdmg	yes			scholarly	320				25			1				You struck your target with lashing flames!		You are struck by lashing flames!	There is no target				1	POTION_BREAK	7	zombie,skeleton	
8	Spell: Strike of Methabeht	I swear to you, Lord Methabeht, smite my enemy and I shall forever give myself in service. - Darakua	You can put any Dev note here	2	targetdmg	yes			natural	320				25				1			Your target is struck by the gods!		You are struck by the gods!	There is no target					POTION_BREAK	7	zombie,skeleton	
9	Spell: Ring of Frost	An old elemental school page detailing the art of summoning perfect circles of frost	You can put any Dev note here	2	aoedmg	no			scholarly	320				75			3				You summon a ring of deadly frost at your location!		You are struck by frozen ice!	There is one close enough to feel the effect			POTION_BREAK	9	POTION_BREAK	9	enderman	
10	Spell: Succor: Anchor of the Astral	The locals say the gods first stepped foot on this plane at this very spot. That is of course all nonesense - Researcher Garrin	You can put any Dev note here	0	groupteleport	no			scholarly	320	530	67	490	75			6				Speaking the incantations on the scroll opens a portal in front of your group	You are ripped away by the portal	You are ripped away by the portal				POTION_BREAK	3	POTION_BREAK	3	enderman	
11	Spell: Translocate: Fungi	The parchment seems burned but you make out what appears to be storm runes	You can put any Dev note here	0	teleport	no			scholarly	320	-518	68	864	50			7				Speaking the incantations on the scroll opens a portal in front of you	You are ripped away by the portal					POTION_BREAK	3	POTION_BREAK	3	enderman	
12	Spell: Succor: Fungi	The parchment seems burned but you make out what appears to be storm runes	You can put any Dev note here	0	groupteleport	no			scholarly	320	-518	68	864	100			11				Speaking the incantations on the scroll opens a portal in front of your group	You are ripped away by the portal	You are ripped away by the portal				POTION_BREAK	3	POTION_BREAK	3	enderman	
13	Spell: Ring of the Observers	And we will be charged with this duty until the outsiders arrive - Teleran	You can put any Dev note here	0	teleport	no			natural	320	-305	64	-371	50				5			You speak the ancient druidic prayer to Methabeht						POTION_BREAK	3	POTION_BREAK	3	enderman	
14	Spell: Circle of the Observers	And we will be charged with this duty until the outsiders arrive - Teleran	You can put any Dev note here	0	groupteleport	no			natural	320	-305	64	-371	100				9			You speak the ancient druidic prayer to Methabeht	You are ripped away by the portal	You are ripped away by the portal				POTION_BREAK	3	POTION_BREAK	3	enderman	
15	Ancient: Gift of Darkness	This dusty parchment documents the history of the Mysmaal	You can put any Dev note here	0	buff	yes	turnvampire	300	normal	320				25	10	vampire					You bite your target				You have been inflicted by a terrible darkness! You can turn into a vampire with /vaccept				POTION_BREAK	8	cave_spider	
16	Spell: Ring of the Time Mage	The Septs have had more dealings with the Time Mages than we can count - Tsiyon High Commissioner Telarik	You can put any Dev note here	0	teleport	no			natural	320	780	63	98	25				4			You speak the ancient druidic prayer to Methabeht						POTION_BREAK	3	POTION_BREAK	3	enderman	
17	Spell: Circle of the Time Mage	The Septs have had more dealings with the Time Mages than we can count - Tsiyon High Commissioner Telarik	You can put any Dev note here	0	groupteleport	no			natural	320	780	63	98	50				8			You speak the ancient druidic prayer to Methabeht	You are ripped away by the portal	You are ripped away by the portal				POTION_BREAK	3	POTION_BREAK	3	enderman	
18	Spell: Translocate: Caer Sidi	Ancient elves perhaps, who knows my friend - Sholar Elmirian	You can put any Dev note here	0	teleport	no			scholarly	320	547	64	-595	25			2				Speaking the incantations on the scroll opens a portal in front of you	You are ripped away by the portal					POTION_BREAK	3	POTION_BREAK	3	enderman	
19	Spell: Succor: Caer Sidi	Ancient elves perhaps, who knows my friend - Sholar Elmirian	You can put any Dev note here	0	groupteleport	no			scholarly	320	547	64	-595	50			5				Speaking the incantations on the scroll opens a portal in front of your group	You are ripped away by the portal	You are ripped away by the portal				POTION_BREAK	3	POTION_BREAK	3	enderman	
20	Ancient: Unstoppable Leap	Hunting a winged beast is easier done when they are young - Elarok Lightbringer	exstended duration to avoid lag death~Optar~	0	buff	no	leap	12	normal	320				25	10	halfdragon,angel,fallenangel,fairy															spider	
21	Ancient: Naturally Inquisitive	The Modern Humans seem to be just as obsessed with knowledge as their predecessors - Salvador Kondrat	You can put any Dev note here	0	buff	no	expbonus	100	normal	320				25	10	human,halfelf					You feel compelled to continue						POTION_BREAK	4			enderman	
22	Spell: Succor: The Weavers Edge	They were people who worshipped a deity known as The Weaver, we know little more - Yael Soroblade	You can put any Dev note here	0	groupteleport	no			scholarly	320	1335	62	-584	75			11				Speaking the incantations on the scroll opens a portal in front of your group	You are ripped away by the portal	You are ripped away by the portal				POTION_BREAK	3	POTION_BREAK	3	spider	
23	Spell: Circle of the Dal	We believe them to be a form of Elf, Sand Elf specifically - fascinating lore I must say - Tebaron Leafwalker	You can put any Dev note here	0	groupteleport	no			natural	320	357	71	-778	75				11			You speak the ancient druidic prayer to Methabeht	You are ripped away by the portal	You are ripped away by the portal				POTION_BREAK	3	POTION_BREAK	3	skeleton	
24	Spell: Succor: Shisik	Ashix Sek Ahkt Son Doba Keh - Shisik Seritak, Servant of the Godslayer	You can put any Dev note here	0	groupteleport	no			scholarly	320	-47	56	483	75			11				Speaking the incantations on the scroll opens a portal in front of your group	You are ripped away by the portal	You are ripped away by the portal				POTION_BREAK	3	POTION_BREAK	3	enderman	
25	Spell: Circle of the Forbidden	Not all translocation is met with success, even the ancients knew that - Scholar Aquilar	You can put any Dev note here	0	groupteleport	no			natural	320	754	61	330	75				11			You speak the ancient druidic prayer to Methabeht	You are ripped away by the portal	You are ripped away by the portal				POTION_BREAK	3	POTION_BREAK	3	enderman	
26	Ability: Second Wind	"A warrior's stamina reserves are invaluable in the heat of battle " Captain Bynde	A stamina "heal"	3	buff	no	stamina	5	combat	320				50					8		You draw upon your reserve stamina for that final push.			You have plenty of stamina, your attempts are pointless.							spider	
27	Ability: Battlecry: Charge!	"Forward my brothers! We shall win the day!" General Mato		10	buff	no	speed	5	combat	320				75					5		You spur yourself and your allies into a charge.					Charge!					creeper	
28	Ability: Blind Strength	"A true warrior can enter an astonishing rage to make himself more effective" General Mato 	Gives player StrengthII potion effects	2	buff	no	strength	30	combat	320				75					1		You feel a rush of pride and adrenaline shoot through your body.										zombie,skeleton	
29	Ancient: Iron Bullet	And with that bow, call from the sky for arrows	Wood Elf unlimited arrows	262	item	no		45	normal	320				50	10	woodelf,halfelf					Arrows appear suddenly within your bow.	The miracle arrows deplete.									 enderman	
30	Spell: Generous Waters	Observe my brothers, the gift of the gods!- Ioni Miriad	gives fish	349	item	no		1	natural	320				50				10			A lifeless piece of food floats ashore. 										squid	
31	Spell: Feet of the Wind	"Make no haste when traveling this land, move quickly to your destination." Sepa	Speed increase	1	buff	no	speed	30	ranged	320				75						1	Your feet seem light and eager.	You begin to cough on your spit and slow									zombie,skeleton	
32	Spell: Triumphant Lungs	Who needs air when Methabeht will provide? Ioni Miriad	can spend more time underwater	20	buff	no	breath	15	natural	320				50				5			You inhale a tremendous breath of air	Your lungs become hungry for air once more									squid	
33	Ability: Warm Blankets of Matron	And to my children, I leave this cloth. As shelter and safety.	Group heal	5	aoeheal	no			ranged	320				75						7	A warmth of good spirits is spread to those around you.						POTION_BREAK	4	POTION_BREAK	4	wolf	
34	Ability: Dodge	"Good look hitting me!" Bleed of the Cell Squad	player quickly shoots 10 blocks in the direction they are facing	10	blink	no			ranged	320				50						10	You travel twenty steps further	You quickly dash out the way of your foes.									spider	
35	Ancient: Memories of The Under	The battle was fierce and lasted weeks, the Orcs never tiring and the proto-humans suffering endless losses." Scholar Aquilar	Gives player StrengthII potion effects	4	buff	no	strength	60	normal	320				100	10	orc					Memories of the past flourish rage from within.	Your muscles begin to burn and cramp.									pigman, ghast, enderman, ender_dragon	
36	Ancient: Coat of Fur	"They shot through the dark pines hungry for their next meal, in a pack as one." Scholar Aquilar	Turns player to wolfmob, gives speed	4	buff	no	speed	15	normal	320				100	10	kobold					A fine coat of fur covers your skin as you transform.	Fur falls to the ground revealing your true form.									wolf	
37	Ancient: Arcane Shield	The Arcane Shield is passed down since the time of the Vishim		10	buff	no	shield	30	normal	320				50	10	highelf					You evoke the power of Golkara to protect you from ranged attacks	The shield powers down			Runes surround you		POTION_BREAK	8	POTION_BREAK	8	enderman	
38	Ancient: Hardskin	"The Lizardmen have always had the ability to take a few more hits when the going gets tough" General Mato		7	buff	no	shield	30	normal	320				50	10	lizardman					You brace yourself for an incoming attack, your scales lock together.	You cannot sustain the Hardskin any more			Runes surround you		POTION_BREAK	8	POTION_BREAK	8	wolf,enderman	
39	Ancient: Curse of Deuzulus	The ancient curse of Deuzulus, passed down for generations.		3	dot	yes		20	normal	320				50	10	darkelf					You mutter an Ancient Curse at your foe.	The effects of the curse wear off	You are curse by the Ancient god Deuzulus	You have no target							ghast,enderman	
40	Ancient: Flameshield	"The beings of the element can survive in places others could never" Scholar Aquilar	Fireshield	9	buff	no	shield	20	normal	320				50	10	elemental					Ingorir guards you from harm.	The shield can  sustain no longer			Runes surround you		POTION_BREAK	8	POTION_BREAK	8	blaze	
41	Ancient: Blink	"The power of 'Blinking' is taught to High Human children at an early age." Scholar Aquilar		20	blink	no			normal	320				50	10	highhuman					You use the power of your mind to hurl your body forward.										enderman	
42	Ancient: Natural Agility	"The Halfling race has always been a hard one to keep track of in the heat of battle" Captain Bynde	speed	12	buff	no	speed	60	normal	320				50	10	hobbit					You dart around, at speeds inaccessible to larger races 	You are now back to normal speed									wolf, spider	
43	Ancient: Stomp	"The Ogre's can use their sheer mass to great effect in combat" Captain Bynde	aoe stomp	4	aoedmg	no			normal	320				50	10	ogre					You slam your foot onto the ground, knocking your foes backwoulds		You are thrown back by an almighty stomp	There is one close enough to feel the effect			POTION_BREAK	9	POTION_BREAK	9	giant	
44	Ancient: Furious assult	"The Trolls have an innate ability to summon bursts of furious strength" Captain Bynde		4	buff	no	strength	20	normal	320				50	10	troll					You take a deep breath before beginning a furious assault 	You can sustain your assult no more									spider,cave_spider	
45	Ancient: Wrist Cannon	"The Gnomes' intuitive application of technology is very impressive" General Mato		8	targetdmg	yes			normal	320				100	10	gnome					You launch a missile from your wrist mounted cannon		You are struck by s flaming cannonball	Your cannon cannot lock onto any target				1	POTION_BREAK	7	creeper,blaze,ghast	
46	Ancient: Dark Infection	"The various diseases carried by the undead's rotten flesh are often turned on their enemies." Scholar Aquilar		1	detrimental	yes	poison	6	normal	320				100	10	undead					You will your very essence to Infect your foe		You are stricken by a dark infection	There is no target			POTION_BREAK	3	POTION_BREAK	3	cave_spider	
47	Ancient: Barbaric charge	"The charge of a Barbarian is a sight to behold" Captain Bynde		20	buff	no	speed	10	normal	320				50	10	barbarian					You use your entire being to charge forward.	You can sustain that speed no longer									spider, wolf	
48	Ability: Battlecry: Brace yourselves	"They are coming for us brothers! We shall make them rue the day!" General Mato		3	buff	no	defense	10	combat	320				25					10							Brace yourselves!					giant	
49	Ancient: Mechanical Weapon	"The ancient mechanical weapon of the clockworks is legend" Scholar Aquilar	clockwork thing	8	targetdmg	yes			normal	320				100	10	clockwork															iron_golem	
50	Ability: Gouge 	"A bleeding foe will fall with ease" Captain Bynde		2	detrimental	yes	poison	5	combat	320				75					7		You gouge into your target with your weapon, causing them to bleed.		You are bleeding!				POTION_BREAK	3	POTION_BREAK	3	giant	
51	Ability: Block	"To block an attack is the first step, it only becomes useful if you can retaliate" Captain Bynde		30	buff	no	shield	6	combat	320				50					12		You raise your defences.	You drop your defenses again			Runes surround you		POTION_BREAK	8	POTION_BREAK	8	giant	
52	Spell: Python's Gift	This spell seems to have storm runes on it...	Are we keeping these? ***	2	detrimental	yes	poison	3	natural	320				100	10			3			A dark presence loom in your mind, and in your health. 	You feel the presence leave you					POTION_BREAK	3	POTION_BREAK	3	enderman,creeper	
53	Spell: Decrepit Noodles		Are we keeping these? ***	2	detrimental	yes	poison	3	natural	320				100	10			10			An ill taste splashes across your tongue. 	You throw up the noodles 					POTION_BREAK	3	POTION_BREAK	3	enderman,creeper	
54	Ancient: Call of the legion	"There are many races of darkness who can move in a swarm, an incredible sight" General Mato		10	buff	no	speed	20	normal	320				50	15	ratman,elemental,goblin,orc					Your movements become part of the swarm	The swarm looses momentum	You feel like part of something bigger, a swarm.								creeper,enderman,spider	
55	Ancient: Gift of Under	"There lay in front of them their beloved ruler now a twisted image of himself and with dominion over endless armies" Scholar Aquilar	Heal spell exclusive to dark races	2	heal	both			normal	320				75	15	vampire,undead,darkelf					A demon of generosity visits you.			You are not ill.			POTION_BREAK	4	POTION_BREAK	4	giant,ghast,creeper	
56	Ancient: Realm of the Lightbringer	Like minded elves find comfort in their shared belief in the god of nature Methabeht	Strenght1 and Healthregen	7	heal	both			normal	320				100	15	woodelf,highelf,halfelf					A warm breeze of good fate blows through your hair.	The breeze faids					POTION_BREAK	4	POTION_BREAK	4	enderman,creeper	
57	Ancient: Ancestor's wisdom 	"The knowledge of the past can be draw upon in times of need" Scholar Aquilar		4	buff	no	strength	20	normal	320				75	15	halfdragon,lizardman					You feel the hands of your ancestors guiding your blade	The Legacy leave your person									enderman,wolf,spider	
58	Ancient: Blessing from above	"We must use this blessing to further our cause!" King Arkon		25	buff	no	shield	20	normal	320				75	15	angel,fairy					You feel a blessing from above guarding you.	The effect of the blessing wears off.			Runes surround you		POTION_BREAK	8	POTION_BREAK	8	enderman,	
59	Ancient: Curse of the forsaken	"The forsaken turn their ancient curse against their foe. Making them a force to be reckoned with." General Mato		1	detrimental	yes	poison	15	normal	320				100	20	fallenangel					You turn your curse on your advisary		The curse of the forsaken enters you				POTION_BREAK	3	POTION_BREAK	3	enderman,creeper	
60	Ancient: Clockwork Spring Heels	"Many Clockworks had springed heels, allowing the traversal of terrain " Scholar Aquilar			buff	no	leap	8	normal	320				25	15	clockwork					Springs burst out the bottom of your feet.										enderman,creeper	
61	Ancient: Power Combined	"The human like races sealed an anchient pact to guard them in times of need" Scholar Aquilar		25	buff	no	shield	100	normal	320				50	15	human,highhuman,hobbit,gnome,dwarf					You feel the combined power of old guarding you.	The shield guarding you wears off.			Runes surround you		POTION_BREAK	8	POTION_BREAK	8	ghast,Selorian	
62	Ability: Wide swing	"Sometimes not aiming for one target is exactly what you need" Captain Bynde		6	aoedmg	no			combat	320				50					15		You swing your blade around you, hitting all the foes around you.		You are hit by a swinging blade	You flail your blade around but dont hit anyone			POTION_BREAK	9	POTION_BREAK	9	ender_dragon,ghast	
63	Ability: Stealth Shot	"To shoot a foe is easy, to hit them in such a way that you remain hidden, now that is a skill!" Rauchlehre		2	targetdmg	yes			ranged	320				30						4	You fire a silent arrow at your foe, keeping your location hidden.		You are hit by an arrow but you have no idea where it came from.				ARROW_FIRE	1	POTION_BREAK	7	cave_spider	
64	Spell: Backlash	The backlash is the staple of many Tsiyonian Magician's arsenals		8	targetdmg	yes			scholarly	320				60			19				Your target lashes as the pain of your attack runs thought him		You lash back in pain						POTION_BREAK	10	ender_dragon,enderman,creeper	
65	Ability: Dash	"A well timed dash can confuse and disorient your opponent, leaving them open to an attack" Rauchlehre		7	blink	no			combat	320				50					18		You dart forwards, now is your time to strike.										enderman	
66	Ancient: Shadow Step	"Those goblins can disappear at a moment's notice, be on your guard men!" Rauchlehre	invisibility		stealth	no		20	normal	320				100	30	goblin					Transparency falls across your body.	Your skin and bones return opaque									enderman	
67	Spell: Magic Missile 	"Although not the most powerful spell, Magic Missile is now known as a standard spell that every aspiring young mage must know." Scholar Aquilar		3	targetdmg	yes			scholarly	320				30			6				You fire an arcane missile.						ARROW_FIRE	1	POTION_BREAK	7	ghast	
68	Spell: Breath of Methabeht	Feel the breath of Methabeht upon you!		4	heal	both			natural	320				25				7			Methabeht looks down favourably		You feel the Breath of Methabeht	Your attempt to heal makes no difference			POTION_BREAK	4	POTION_BREAK	4	enderman	
69	Spell: Throw Fire	The Magicians of Tsiyon are renown for their ability to create storms of flames 	like the other fire spell but it costs less so higher level people can use it more	4	targetdmg	yes			scholarly	320				30			15				You launch a fireball from your hands.		You are struck by a fireball					1	SMOKE	1	blaze,ghast	
70	Spell: Clear Skies	Look upwards my son, see what methabeht can bring for us - Druid Kenria Selri	clears weather!	0	weather	no			natural	320				100				10			You recite an ancient druidic spell to the heavens	You feel the clouds begin to part					POTION_BREAK	8	POTION_BREAK	8	ender_dragon,ghast	
71	Spell: Protection of Ioni	Through worship we can call upon aid in our times of need - Ioni Miriad	hp buff	15	buff	both	shield	20	natural	320				100				8			You summon forth divine runes		You cover your target in divine runes	The runes fall off your target	Runes surround you		POTION_BREAK	8	POTION_BREAK	8	silverfish	
72	Spell: Protection of the Archon	Behold! The gods look favourably upon you! - Ioni Miriad	hp buff	30	buff	both	shield	20	natural	320				100				18			You summon forth superior divine runes		You cover your target in superior divine runes	The runes fall off your target	Runes surround you		POTION_BREAK	8	POTION_BREAK	8	magma_cube	
73	Spell: Deadly whisper	The shamans of old could bring the spirits to bear witness against the living	poison	2	detrimental	yes	poison	3	natural	320				50				5			Ancestors whisper to your opponent	your foe recieves the words of your ancestors	You feel ill				POTION_BREAK	3	POTION_BREAK	3	enderman,creeper	
74	Ancient: Ancestral Deadly whisper	Goblin shamans were the foremost in curse-mongering spirits	poison	4	detrimental	yes	poison	3	normal	320				75	20	goblin					Ancestors whisper to your opponent	your foe recieves the words of your ancestors	You feel ill				POTION_BREAK	3	POTION_BREAK	3	enderman,creeper	
75	Spell: Stick Foot	Once used by the Machelite Wizards for aid with thier footings on the passesÂ of thier mountain home	Speed decrease like with soulsand	-2	buff	yes	speed	30	natural	320				75				12			The ground reaches up at your target	Your feet are released	Your feet stick								spider	
76	Ancient: Hidden Ringmail	"I find that halflings tend to hide their armour under their clothes, leaving their opponent unsure how well armoured they are."		7	buff	no	defence	90	normal	320				75	20	hobbit					You conceal a ringmail chest plate under your attire 	The chainmail falls away.										
77	Ancient: Hybrid Running Style	"The Half Elves seem to have taken the most beneficial traits of the Elves and Humans to make them into skilled runners"		20	buff	no	speed	30	normal	320				50	20	halfelf					You break into a run	You return to normal speed									spider	
78	Ancient: Vampiric Gaze 	"I looked deep into his eyes and he looked deep into me, into my very essence"		10	targetdmg	yes			normal	320				100	20	vampire					To gaze deep into their very being 		You feel a dark gaze upon you						SMOKE	1	enderman	
